species	interaction_name	interaction_name_2	ligand	receptor	pathway_name	annotation	version
human	Glutamate-Glu-SLC17A6_GLS2_GRIK1_GRIK5	Glu-(SLC17A6+GLS2) - (GRIK1+GRIK5)	Glu-SLC17A6_GLS2	GRIK1_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIK2	Glu-(SLC17A6+GLS2) - GRIK2	Glu-SLC17A6_GLS2	GRIK2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIK2_GRIK4	Glu-(SLC17A6+GLS2) - (GRIK2+GRIK4)	Glu-SLC17A6_GLS2	GRIK2_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIK2_GRIK5	Glu-(SLC17A6+GLS2) - (GRIK2+GRIK5)	Glu-SLC17A6_GLS2	GRIK2_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIK3	Glu-(SLC17A6+GLS2) - GRIK3	Glu-SLC17A6_GLS2	GRIK3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIK3_GRIK4	Glu-(SLC17A6+GLS2) - (GRIK3+GRIK4)	Glu-SLC17A6_GLS2	GRIK3_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIK3_GRIK5	Glu-(SLC17A6+GLS2) - (GRIK3+GRIK5)	Glu-SLC17A6_GLS2	GRIK3_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIN1_GRIN2A	Glu-(SLC17A6+GLS2) - (GRIN1+GRIN2A)	Glu-SLC17A6_GLS2	GRIN1_GRIN2A	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIN1_GRIN2B	Glu-(SLC17A6+GLS2) - (GRIN1+GRIN2B)	Glu-SLC17A6_GLS2	GRIN1_GRIN2B	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIN1_GRIN2C	Glu-(SLC17A6+GLS2) - (GRIN1+GRIN2C)	Glu-SLC17A6_GLS2	GRIN1_GRIN2C	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRIN1_GRIN2D	Glu-(SLC17A6+GLS2) - (GRIN1+GRIN2D)	Glu-SLC17A6_GLS2	GRIN1_GRIN2D	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM1	Glu-(SLC17A6+GLS2) - GRM1	Glu-SLC17A6_GLS2	GRM1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM2	Glu-(SLC17A6+GLS2) - GRM2	Glu-SLC17A6_GLS2	GRM2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM3	Glu-(SLC17A6+GLS2) - GRM3	Glu-SLC17A6_GLS2	GRM3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM4	Glu-(SLC17A6+GLS2) - GRM4	Glu-SLC17A6_GLS2	GRM4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM5	Glu-(SLC17A6+GLS2) - GRM5	Glu-SLC17A6_GLS2	GRM5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM6	Glu-(SLC17A6+GLS2) - GRM6	Glu-SLC17A6_GLS2	GRM6	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM7	Glu-(SLC17A6+GLS2) - GRM7	Glu-SLC17A6_GLS2	GRM7	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A6_GLS2_GRM8	Glu-(SLC17A6+GLS2) - GRM8	Glu-SLC17A6_GLS2	GRM8	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIA1	Glu-(SLC17A7+GLS) - GRIA1	Glu-SLC17A7_GLS	GRIA1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIA2	Glu-(SLC17A7+GLS) - GRIA2	Glu-SLC17A7_GLS	GRIA2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIA3	Glu-(SLC17A7+GLS) - GRIA3	Glu-SLC17A7_GLS	GRIA3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIA4	Glu-(SLC17A7+GLS) - GRIA4	Glu-SLC17A7_GLS	GRIA4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK1	Glu-(SLC17A7+GLS) - GRIK1	Glu-SLC17A7_GLS	GRIK1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK1_GRIK4	Glu-(SLC17A7+GLS) - (GRIK1+GRIK4)	Glu-SLC17A7_GLS	GRIK1_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK1_GRIK5	Glu-(SLC17A7+GLS) - (GRIK1+GRIK5)	Glu-SLC17A7_GLS	GRIK1_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK2	Glu-(SLC17A7+GLS) - GRIK2	Glu-SLC17A7_GLS	GRIK2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK2_GRIK4	Glu-(SLC17A7+GLS) - (GRIK2+GRIK4)	Glu-SLC17A7_GLS	GRIK2_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK2_GRIK5	Glu-(SLC17A7+GLS) - (GRIK2+GRIK5)	Glu-SLC17A7_GLS	GRIK2_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK3	Glu-(SLC17A7+GLS) - GRIK3	Glu-SLC17A7_GLS	GRIK3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK3_GRIK4	Glu-(SLC17A7+GLS) - (GRIK3+GRIK4)	Glu-SLC17A7_GLS	GRIK3_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIK3_GRIK5	Glu-(SLC17A7+GLS) - (GRIK3+GRIK5)	Glu-SLC17A7_GLS	GRIK3_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIN1_GRIN2A	Glu-(SLC17A7+GLS) - (GRIN1+GRIN2A)	Glu-SLC17A7_GLS	GRIN1_GRIN2A	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIN1_GRIN2B	Glu-(SLC17A7+GLS) - (GRIN1+GRIN2B)	Glu-SLC17A7_GLS	GRIN1_GRIN2B	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIN1_GRIN2C	Glu-(SLC17A7+GLS) - (GRIN1+GRIN2C)	Glu-SLC17A7_GLS	GRIN1_GRIN2C	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRIN1_GRIN2D	Glu-(SLC17A7+GLS) - (GRIN1+GRIN2D)	Glu-SLC17A7_GLS	GRIN1_GRIN2D	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM1	Glu-(SLC17A7+GLS) - GRM1	Glu-SLC17A7_GLS	GRM1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM2	Glu-(SLC17A7+GLS) - GRM2	Glu-SLC17A7_GLS	GRM2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM3	Glu-(SLC17A7+GLS) - GRM3	Glu-SLC17A7_GLS	GRM3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM4	Glu-(SLC17A7+GLS) - GRM4	Glu-SLC17A7_GLS	GRM4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM5	Glu-(SLC17A7+GLS) - GRM5	Glu-SLC17A7_GLS	GRM5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM6	Glu-(SLC17A7+GLS) - GRM6	Glu-SLC17A7_GLS	GRM6	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM7	Glu-(SLC17A7+GLS) - GRM7	Glu-SLC17A7_GLS	GRM7	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS_GRM8	Glu-(SLC17A7+GLS) - GRM8	Glu-SLC17A7_GLS	GRM8	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIA1	Glu-(SLC17A7+GLS2) - GRIA1	Glu-SLC17A7_GLS2	GRIA1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIA2	Glu-(SLC17A7+GLS2) - GRIA2	Glu-SLC17A7_GLS2	GRIA2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIA3	Glu-(SLC17A7+GLS2) - GRIA3	Glu-SLC17A7_GLS2	GRIA3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIA4	Glu-(SLC17A7+GLS2) - GRIA4	Glu-SLC17A7_GLS2	GRIA4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK1	Glu-(SLC17A7+GLS2) - GRIK1	Glu-SLC17A7_GLS2	GRIK1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK1_GRIK4	Glu-(SLC17A7+GLS2) - (GRIK1+GRIK4)	Glu-SLC17A7_GLS2	GRIK1_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK1_GRIK5	Glu-(SLC17A7+GLS2) - (GRIK1+GRIK5)	Glu-SLC17A7_GLS2	GRIK1_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK2	Glu-(SLC17A7+GLS2) - GRIK2	Glu-SLC17A7_GLS2	GRIK2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK2_GRIK4	Glu-(SLC17A7+GLS2) - (GRIK2+GRIK4)	Glu-SLC17A7_GLS2	GRIK2_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK2_GRIK5	Glu-(SLC17A7+GLS2) - (GRIK2+GRIK5)	Glu-SLC17A7_GLS2	GRIK2_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK3	Glu-(SLC17A7+GLS2) - GRIK3	Glu-SLC17A7_GLS2	GRIK3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK3_GRIK4	Glu-(SLC17A7+GLS2) - (GRIK3+GRIK4)	Glu-SLC17A7_GLS2	GRIK3_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIK3_GRIK5	Glu-(SLC17A7+GLS2) - (GRIK3+GRIK5)	Glu-SLC17A7_GLS2	GRIK3_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIN1_GRIN2A	Glu-(SLC17A7+GLS2) - (GRIN1+GRIN2A)	Glu-SLC17A7_GLS2	GRIN1_GRIN2A	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIN1_GRIN2B	Glu-(SLC17A7+GLS2) - (GRIN1+GRIN2B)	Glu-SLC17A7_GLS2	GRIN1_GRIN2B	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIN1_GRIN2C	Glu-(SLC17A7+GLS2) - (GRIN1+GRIN2C)	Glu-SLC17A7_GLS2	GRIN1_GRIN2C	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRIN1_GRIN2D	Glu-(SLC17A7+GLS2) - (GRIN1+GRIN2D)	Glu-SLC17A7_GLS2	GRIN1_GRIN2D	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM1	Glu-(SLC17A7+GLS2) - GRM1	Glu-SLC17A7_GLS2	GRM1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM2	Glu-(SLC17A7+GLS2) - GRM2	Glu-SLC17A7_GLS2	GRM2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM3	Glu-(SLC17A7+GLS2) - GRM3	Glu-SLC17A7_GLS2	GRM3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM4	Glu-(SLC17A7+GLS2) - GRM4	Glu-SLC17A7_GLS2	GRM4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM5	Glu-(SLC17A7+GLS2) - GRM5	Glu-SLC17A7_GLS2	GRM5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM6	Glu-(SLC17A7+GLS2) - GRM6	Glu-SLC17A7_GLS2	GRM6	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM7	Glu-(SLC17A7+GLS2) - GRM7	Glu-SLC17A7_GLS2	GRM7	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A7_GLS2_GRM8	Glu-(SLC17A7+GLS2) - GRM8	Glu-SLC17A7_GLS2	GRM8	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIA1	Glu-(SLC17A8+GLS) - GRIA1	Glu-SLC17A8_GLS	GRIA1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIA2	Glu-(SLC17A8+GLS) - GRIA2	Glu-SLC17A8_GLS	GRIA2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIA3	Glu-(SLC17A8+GLS) - GRIA3	Glu-SLC17A8_GLS	GRIA3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIA4	Glu-(SLC17A8+GLS) - GRIA4	Glu-SLC17A8_GLS	GRIA4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK1	Glu-(SLC17A8+GLS) - GRIK1	Glu-SLC17A8_GLS	GRIK1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK1_GRIK4	Glu-(SLC17A8+GLS) - (GRIK1+GRIK4)	Glu-SLC17A8_GLS	GRIK1_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK1_GRIK5	Glu-(SLC17A8+GLS) - (GRIK1+GRIK5)	Glu-SLC17A8_GLS	GRIK1_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK2	Glu-(SLC17A8+GLS) - GRIK2	Glu-SLC17A8_GLS	GRIK2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK2_GRIK4	Glu-(SLC17A8+GLS) - (GRIK2+GRIK4)	Glu-SLC17A8_GLS	GRIK2_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK2_GRIK5	Glu-(SLC17A8+GLS) - (GRIK2+GRIK5)	Glu-SLC17A8_GLS	GRIK2_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK3	Glu-(SLC17A8+GLS) - GRIK3	Glu-SLC17A8_GLS	GRIK3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK3_GRIK4	Glu-(SLC17A8+GLS) - (GRIK3+GRIK4)	Glu-SLC17A8_GLS	GRIK3_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIK3_GRIK5	Glu-(SLC17A8+GLS) - (GRIK3+GRIK5)	Glu-SLC17A8_GLS	GRIK3_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIN1_GRIN2A	Glu-(SLC17A8+GLS) - (GRIN1+GRIN2A)	Glu-SLC17A8_GLS	GRIN1_GRIN2A	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIN1_GRIN2B	Glu-(SLC17A8+GLS) - (GRIN1+GRIN2B)	Glu-SLC17A8_GLS	GRIN1_GRIN2B	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIN1_GRIN2C	Glu-(SLC17A8+GLS) - (GRIN1+GRIN2C)	Glu-SLC17A8_GLS	GRIN1_GRIN2C	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRIN1_GRIN2D	Glu-(SLC17A8+GLS) - (GRIN1+GRIN2D)	Glu-SLC17A8_GLS	GRIN1_GRIN2D	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM1	Glu-(SLC17A8+GLS) - GRM1	Glu-SLC17A8_GLS	GRM1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM2	Glu-(SLC17A8+GLS) - GRM2	Glu-SLC17A8_GLS	GRM2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM3	Glu-(SLC17A8+GLS) - GRM3	Glu-SLC17A8_GLS	GRM3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM4	Glu-(SLC17A8+GLS) - GRM4	Glu-SLC17A8_GLS	GRM4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM5	Glu-(SLC17A8+GLS) - GRM5	Glu-SLC17A8_GLS	GRM5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM6	Glu-(SLC17A8+GLS) - GRM6	Glu-SLC17A8_GLS	GRM6	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM7	Glu-(SLC17A8+GLS) - GRM7	Glu-SLC17A8_GLS	GRM7	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS_GRM8	Glu-(SLC17A8+GLS) - GRM8	Glu-SLC17A8_GLS	GRM8	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIA1	Glu-(SLC17A8+GLS2) - GRIA1	Glu-SLC17A8_GLS2	GRIA1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIA2	Glu-(SLC17A8+GLS2) - GRIA2	Glu-SLC17A8_GLS2	GRIA2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIA3	Glu-(SLC17A8+GLS2) - GRIA3	Glu-SLC17A8_GLS2	GRIA3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIA4	Glu-(SLC17A8+GLS2) - GRIA4	Glu-SLC17A8_GLS2	GRIA4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK1	Glu-(SLC17A8+GLS2) - GRIK1	Glu-SLC17A8_GLS2	GRIK1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK1_GRIK4	Glu-(SLC17A8+GLS2) - (GRIK1+GRIK4)	Glu-SLC17A8_GLS2	GRIK1_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK1_GRIK5	Glu-(SLC17A8+GLS2) - (GRIK1+GRIK5)	Glu-SLC17A8_GLS2	GRIK1_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK2	Glu-(SLC17A8+GLS2) - GRIK2	Glu-SLC17A8_GLS2	GRIK2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK2_GRIK4	Glu-(SLC17A8+GLS2) - (GRIK2+GRIK4)	Glu-SLC17A8_GLS2	GRIK2_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK2_GRIK5	Glu-(SLC17A8+GLS2) - (GRIK2+GRIK5)	Glu-SLC17A8_GLS2	GRIK2_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK3	Glu-(SLC17A8+GLS2) - GRIK3	Glu-SLC17A8_GLS2	GRIK3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK3_GRIK4	Glu-(SLC17A8+GLS2) - (GRIK3+GRIK4)	Glu-SLC17A8_GLS2	GRIK3_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIK3_GRIK5	Glu-(SLC17A8+GLS2) - (GRIK3+GRIK5)	Glu-SLC17A8_GLS2	GRIK3_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIN1_GRIN2A	Glu-(SLC17A8+GLS2) - (GRIN1+GRIN2A)	Glu-SLC17A8_GLS2	GRIN1_GRIN2A	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIN1_GRIN2B	Glu-(SLC17A8+GLS2) - (GRIN1+GRIN2B)	Glu-SLC17A8_GLS2	GRIN1_GRIN2B	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIN1_GRIN2C	Glu-(SLC17A8+GLS2) - (GRIN1+GRIN2C)	Glu-SLC17A8_GLS2	GRIN1_GRIN2C	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRIN1_GRIN2D	Glu-(SLC17A8+GLS2) - (GRIN1+GRIN2D)	Glu-SLC17A8_GLS2	GRIN1_GRIN2D	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM1	Glu-(SLC17A8+GLS2) - GRM1	Glu-SLC17A8_GLS2	GRM1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM2	Glu-(SLC17A8+GLS2) - GRM2	Glu-SLC17A8_GLS2	GRM2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM3	Glu-(SLC17A8+GLS2) - GRM3	Glu-SLC17A8_GLS2	GRM3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM4	Glu-(SLC17A8+GLS2) - GRM4	Glu-SLC17A8_GLS2	GRM4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM5	Glu-(SLC17A8+GLS2) - GRM5	Glu-SLC17A8_GLS2	GRM5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM6	Glu-(SLC17A8+GLS2) - GRM6	Glu-SLC17A8_GLS2	GRM6	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM7	Glu-(SLC17A8+GLS2) - GRM7	Glu-SLC17A8_GLS2	GRM7	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC17A8_GLS2_GRM8	Glu-(SLC17A8+GLS2) - GRM8	Glu-SLC17A8_GLS2	GRM8	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIA1	Glu-(SLC1A1+GLS) - GRIA1	Glu-SLC1A1_GLS	GRIA1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIA2	Glu-(SLC1A1+GLS) - GRIA2	Glu-SLC1A1_GLS	GRIA2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIA3	Glu-(SLC1A1+GLS) - GRIA3	Glu-SLC1A1_GLS	GRIA3	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIA4	Glu-(SLC1A1+GLS) - GRIA4	Glu-SLC1A1_GLS	GRIA4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK1	Glu-(SLC1A1+GLS) - GRIK1	Glu-SLC1A1_GLS	GRIK1	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK1_GRIK4	Glu-(SLC1A1+GLS) - (GRIK1+GRIK4)	Glu-SLC1A1_GLS	GRIK1_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK1_GRIK5	Glu-(SLC1A1+GLS) - (GRIK1+GRIK5)	Glu-SLC1A1_GLS	GRIK1_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK2	Glu-(SLC1A1+GLS) - GRIK2	Glu-SLC1A1_GLS	GRIK2	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK2_GRIK4	Glu-(SLC1A1+GLS) - (GRIK2+GRIK4)	Glu-SLC1A1_GLS	GRIK2_GRIK4	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK2_GRIK5	Glu-(SLC1A1+GLS) - (GRIK2+GRIK5)	Glu-SLC1A1_GLS	GRIK2_GRIK5	Glutamate	Non-protein Signaling	CellChatDB v2
human	Glutamate-Glu-SLC1A1_GLS_GRIK3	Glu-(SLC1A1+GLS) - GRIK3	Glu-SLC1A1_GLS	GRIK3	Glutamate	Non-protein Signaling	CellChatDB v2
